model,strategy,outcome,cohort,fold,n_train,n_test,auc_roc,f1_weighted,sensitivity,specificity
Random Forest,Pooled baseline,Binary,All,1,6549,1637,0.7434505679294372,0.6708600781160102,0.4110032362459547,0.8578431372549019
Random Forest,Pooled baseline,Binary,All,2,6549,1637,0.7565965932564274,0.6692958371177052,0.3889789303079417,0.8745098039215686
Random Forest,Pooled baseline,Binary,All,3,6549,1637,0.7760503066704802,0.6799731740639783,0.4165316045380875,0.8696078431372549
Random Forest,Pooled baseline,Binary,All,4,6549,1637,0.7643769663456954,0.6792428401384965,0.3987034035656402,0.884313725490196
Random Forest,Pooled baseline,Binary,All,5,6549,1637,0.7588274245643454,0.678024087175934,0.39805825242718446,0.8832188420019627
ANN,Pooled baseline,Binary,All,1,6549,1637,0.710638365378514,0.6622501531975488,0.5889967637540453,0.7029411764705882
ANN,Pooled baseline,Binary,All,2,6549,1637,0.6903144564146566,0.6605263975428403,0.5607779578606159,0.7196078431372549
ANN,Pooled baseline,Binary,All,3,6549,1637,0.711960148727238,0.6679986372328968,0.5640194489465153,0.7303921568627451
ANN,Pooled baseline,Binary,All,4,6549,1637,0.7248371309625957,0.6852670848467448,0.5996758508914101,0.7352941176470589
ANN,Pooled baseline,Binary,All,5,6549,1637,0.70788751583982,0.6620195191318093,0.5776699029126213,0.7105004906771345
Random Forest,Age-inclusive pooled,Binary,All,1,6549,1637,0.7522146075258583,0.6775679283280758,0.42071197411003236,0.861764705882353
Random Forest,Age-inclusive pooled,Binary,All,2,6549,1637,0.7618163472844567,0.6724520195371035,0.4051863857374392,0.865686274509804
Random Forest,Age-inclusive pooled,Binary,All,3,6549,1637,0.7755775892204532,0.6872872510089411,0.4376012965964344,0.8647058823529412
Random Forest,Age-inclusive pooled,Binary,All,4,6549,1637,0.7642697111259414,0.6781982927109456,0.3987034035656402,0.8823529411764706
Random Forest,Age-inclusive pooled,Binary,All,5,6549,1637,0.7559683171838627,0.6767258765203198,0.4029126213592233,0.8763493621197253
ANN,Age-inclusive pooled,Binary,All,1,6549,1637,0.7151294498381876,0.6676224594408419,0.6067961165048543,0.7
ANN,Age-inclusive pooled,Binary,All,2,6549,1637,0.7062351034417007,0.6750858079032929,0.5996758508914101,0.7176470588235294
ANN,Age-inclusive pooled,Binary,All,3,6549,1637,0.7174365207995678,0.6802653777364337,0.6012965964343598,0.7254901960784313
ANN,Age-inclusive pooled,Binary,All,4,6549,1637,0.7306670480185591,0.6876821768719901,0.6256077795786061,0.7215686274509804
ANN,Age-inclusive pooled,Binary,All,5,6549,1637,0.7227960021723182,0.6739730888045613,0.6132686084142395,0.7065750736015701
Random Forest,Age-stratified,Binary,Children,1,737,184,0.8294629898403483,0.7945003142677561,0.0,1.0
Random Forest,Age-stratified,Binary,Children,2,737,184,0.8619766309639728,0.8062084142028041,0.038461538461538464,1.0
Random Forest,Age-stratified,Binary,Children,3,737,184,0.8135345666991237,0.7934146961606916,0.0,1.0
Random Forest,Age-stratified,Binary,Children,4,737,184,0.8454235637779942,0.7907050873390283,0.0,0.9936708860759493
Random Forest,Age-stratified,Binary,Children,5,737,184,0.8426241480038948,0.7934146961606916,0.0,1.0
ANN,Age-stratified,Binary,Children,1,737,184,0.7239961296565071,0.8320882994796038,0.34615384615384615,0.9182389937106918
ANN,Age-stratified,Binary,Children,2,737,184,0.7894352482960078,0.8180508118198508,0.38461538461538464,0.8860759493670886
ANN,Age-stratified,Binary,Children,3,737,184,0.7563291139240507,0.8165963980270823,0.4230769230769231,0.8734177215189873
ANN,Age-stratified,Binary,Children,4,737,184,0.8059883154819864,0.855035072762896,0.38461538461538464,0.9430379746835443
