comparison,model,outcome,metric,mean_a,mean_b,difference,t_statistic,p_value,significant_05
Pooled vs Age-stratified,Random Forest,Binary,auc_roc,0.7598603717532771,0.7480905297321421,-0.011769842021135068,-1.1386658972971382,0.3184093476221645,False
Pooled vs Age-stratified,Random Forest,Binary,f1_weighted,0.6754792033224248,0.7050893483370976,0.02961014501467274,3.0885685742609623,0.03662521940908649,True
Pooled vs Age-stratified,Random Forest,Binary,sensitivity,0.4026550854169617,0.33387638610433934,-0.06877869931262237,-4.297485014351656,0.012670812833094498,True
Pooled vs Age-stratified,Random Forest,Binary,specificity,0.8738986703611769,0.8373650150522931,-0.03653365530888375,-2.030034945044314,0.11220823816283344,False
Pooled vs Age-stratified,Random Forest,Multiclass,auc_roc,0.728312360109473,0.7162310426281764,-0.012081317481296594,-1.053611926826322,0.3514963641665344,False
Pooled vs Age-stratified,Random Forest,Multiclass,f1_weighted,0.5000303353215838,0.5848046376853857,0.0847743023638019,44.283091492696,1.554978962712991e-06,True
Pooled vs Age-stratified,Random Forest,Multiclass,sensitivity,0.6282681548411542,0.6820109230753599,0.05374276823420576,29.486517507685562,7.876524374985869e-06,True
Pooled vs Age-stratified,Random Forest,Multiclass,specificity,0.4045555130249888,0.3786686188714652,-0.025886894153523632,-16.643987400591058,7.633819397082573e-05,True
Pooled vs Age-stratified,ANN,Binary,auc_roc,0.7091275234645649,0.7074978724392484,-0.0016296510253164254,-0.11767473862367772,0.9119976306315171,False
Pooled vs Age-stratified,ANN,Binary,f1_weighted,0.6676123583903679,0.7072959821556879,0.039683623765319975,6.224897087556219,0.0033913131498447234,True
Pooled vs Age-stratified,ANN,Binary,sensitivity,0.5782279848730416,0.5075812784020628,-0.07064670647097882,-3.202575952809283,0.03282013431418439,True
Pooled vs Age-stratified,ANN,Binary,specificity,0.7197471569589563,0.7544454700448284,0.03469831308587212,3.332542817006238,0.0290367466201344,True
Pooled vs Age-stratified,ANN,Multiclass,auc_roc,0.6775747918888498,0.6802945227886681,0.0027197308998182512,0.23833852386061694,0.8233304855999667,False
Pooled vs Age-stratified,ANN,Multiclass,f1_weighted,0.5772509745472935,0.619643616426504,0.042392641879210546,4.189847738711277,0.013808212054350717,True
Pooled vs Age-stratified,ANN,Multiclass,sensitivity,0.580258789605155,0.6187671215601976,0.03850833195504266,3.727155647808776,0.020347218172171933,True
Pooled vs Age-stratified,ANN,Multiclass,specificity,0.6471238711203644,0.5944101127775044,-0.05271375834285996,-3.6004995212781505,0.022748021643891114,True
RF vs ANN (Pooled baseline),RF vs ANN,Binary,auc_roc,0.7598603717532771,0.7091275234645649,0.05073284828871227,5.138111316501907,0.006800171508677476,True
