model,strategy,outcome,cohort,auc_roc_mean,auc_roc_std,f1_weighted_mean,f1_weighted_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
ANN,Age-inclusive pooled,Binary,All,0.7184528248540666,0.009074701767377036,0.676925782151424,0.007508472593471726,0.609328990364694,0.010543214317511136,0.7142561911909022,0.010646726349745249
ANN,Age-inclusive pooled,Multiclass,All,0.6792549659294205,0.01619081130268933,0.5812023949466516,0.012917758861680043,0.5822150767172147,0.0142153545610439,0.6525741457465563,0.014713143825923158
ANN,Age-stratified,Binary,Adults,0.6303511797335819,0.017506263181253135,0.5978161963487493,0.00871261555242171,0.5635134500727665,0.01991637514883825,0.6259860788863109,0.016763240712935886
ANN,Age-stratified,Binary,Children,0.7676327215496072,0.03164511082720302,0.8267746797211407,0.017477494307803498,0.36923076923076925,0.04385290096535146,0.9039009632991004,0.027436014678374636
ANN,Age-stratified,Binary,Seniors,0.7124854080396027,0.02867725862639227,0.6554825538709412,0.022098546972861163,0.6610065990347681,0.03453845485918753,0.6469565217391304,0.018031688133328446
ANN,Age-stratified,Binary,Youth,0.7195221804342018,0.028069327672499575,0.7491104986819199,0.01796851046460382,0.4365742952699474,0.08145614882899613,0.8409383162547719,0.022985077940103234
ANN,Age-stratified,Multiclass,Adults,0.6065780572366406,0.014977091798292251,0.48603664313560735,0.008722466970233158,0.48376599563799194,0.009642145715072355,0.6493041906857346,0.013705302057414185
ANN,Age-stratified,Multiclass,Children,0.7487547517741555,0.043922799748349714,0.7976731886709988,0.018017098483362512,0.7990834312573443,0.026697974227178577,0.4562110297929255,0.09889139658307984
ANN,Age-stratified,Multiclass,Seniors,0.6716190889705524,0.013576809607479708,0.4921818386597736,0.026280239778790602,0.4926160528458963,0.026953539411083735,0.7391575657864662,0.007322004519660039
ANN,Age-stratified,Multiclass,Youth,0.6942261931733236,0.020039711496119102,0.7026827952396357,0.009270495460802244,0.6996030064995582,0.01660068263858492,0.5329676648448916,0.046793332181184887
ANN,Pooled baseline,Binary,All,0.7091275234645649,0.012375048359942235,0.6676123583903679,0.010272323425451825,0.5782279848730416,0.016452013149719374,0.7197471569589563,0.013444192384007089
ANN,Pooled baseline,Multiclass,All,0.6775747918888498,0.015064110047723494,0.5772509745472935,0.011653231244135103,0.580258789605155,0.00884596765560585,0.6471238711203644,0.021810515475090705
Random Forest,Age-inclusive pooled,Binary,All,0.7619693144681146,0.008967533682856363,0.6784462736210772,0.005428782422555193,0.41302313627375387,0.016061569877795008,0.8701718332082589,0.00876381623850676
Random Forest,Age-inclusive pooled,Multiclass,All,0.7319055948376562,0.010520259528388975,0.512085315254103,0.0047270512689895905,0.6335206977235076,0.0009351493004490959,0.41549396228756824,0.005063088191550326
Random Forest,Age-stratified,Binary,Adults,0.664732131170528,0.010755834944083496,0.6038970721092202,0.005924879950908228,0.43927045678606635,0.02431164236459865,0.7605568445475639,0.029090353630918744
Random Forest,Age-stratified,Binary,Children,0.8386043798570668,0.018172661268495423,0.7956486416261944,0.006067272992615688,0.007692307692307693,0.017200522903844537,0.9987341772151899,0.0028304657943035464
Random Forest,Age-stratified,Binary,Seniors,0.7564668399573483,0.020215338511603134,0.6874838280460166,0.03805662987140144,0.7591352309662169,0.027476738372034504,0.6034782608695652,0.054512793108373814
Random Forest,Age-stratified,Binary,Youth,0.7325587679436252,0.026177812943163906,0.7333278515669589,0.010088456524809775,0.12940754897276635,0.018225483456312953,0.9866907775768535,0.008787844849021797
Random Forest,Age-stratified,Multiclass,Adults,0.6268812750616448,0.021707894876969672,0.3947247077470305,0.006185426707717899,0.5474371594191709,0.0024147622651175074,0.45858442330115834,0.0042268180309191945
Random Forest,Age-stratified,Multiclass,Children,0.823999383232394,0.03749242021344513,0.7936318197821045,0.0004855031770001887,0.8588484136310225,0.000341585002438255,0.14115158636897765,0.00034158500243826735
Random Forest,Age-stratified,Multiclass,Seniors,0.7002737277966465,0.010128628275774553,0.47259425062087645,0.005334295534221635,0.5469308961481615,0.006733093678246074,0.6893518347215729,0.009122595370809904
Random Forest,Age-stratified,Multiclass,Youth,0.7137697844220201,0.021176166833157067,0.6782677725915315,0.0032918002306694845,0.7748272231030853,0.002272680520596221,0.2255866310941518,0.0034682590847941435
Random Forest,Pooled baseline,Binary,All,0.7598603717532771,0.011869230291430732,0.6754792033224248,0.005010177248144094,0.4026550854169617,0.011023081315341568,0.8738986703611769,0.01086167342741318
Random Forest,Pooled baseline,Multiclass,All,0.728312360109473,0.01478579362333419,0.5000303353215838,0.003182474561911389,0.6282681548411542,0.0023513485619999614,0.4045555130249888,0.0018913495541884517
